# RUN PARAMETERS: 
# --------------- 
# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	Antigen_processing_and_presentation	Arachidonic_acid_metabolism	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Chromosome	Cysteine_and_methionine_metabolism	Cytoskeleton_proteins	D_Arginine_and_D_ornithine_metabolism	Flavonoid_biosynthesis	Fructose_and_mannose_metabolism	Glycosyltransferases	Insulin_signaling_pathway	Lipid_metabolism	Other_ion_coupled_transporters	Pathways_in_cancer	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Progesterone_mediated_oocyte_maturation	Prostate_cancer	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Starch_and_sucrose_metabolism	Styrene_degradation	Sulfur_metabolism	Transcription_factors	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU123_Prevotella	c:0.0176140969186	d:0.0	d:0.0	c:0.0064051261522	d:0.0	d:0.0	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	c:0.0176140969186	c:0.0256205046088	c:0.00960768922831	d:0.0	d:0.0	c:0.0192153784566	c:0.0144115338425	d:0.0	d:0.0	c:0.0192153784566	c:0.0176140969186	c:0.0224179415327	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU124_Bacteroidetes_unclassified	d:0.0	d:0.0	d:0.0	c:0.0512410092176	d:0.0	d:0.0	d:0.0	c:0.0144115338425	d:0.0	d:0.0	d:0.0	c:0.0128102523044	c:0.0272217861469	d:-0.0032025630761	d:0.0	d:0.0	c:0.0272217861469	d:0.0	d:0.0	d:0.0	c:0.0160128153805	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0128102523044
OTU125_Prevotellaceae_unclassified	c:0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00480384461415	d:0.0	d:0.0	d:0.0	c:0.00480384461415	c:0.00800640769025	c:0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	c:0.0112089707664	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU126_Anaeroplasma	c:0.0112089707664	c:0.0128102523044	d:0.0	c:0.0256205046088	d:0.0	c:0.0064051261522	c:0.0144115338425	c:0.0256205046088	d:0.0	d:0.0	d:0.0	c:0.0192153784566	c:0.0240192230708	c:0.0176140969186	d:0.0	c:0.00800640769025	c:0.0160128153805	c:0.0144115338425	c:0.0128102523044	c:0.0064051261522	c:0.00480384461415	c:0.0112089707664	c:0.0224179415327	c:0.0064051261522	d:0.0	d:0.0	d:0.0	c:0.00800640769025	c:0.0144115338425	d:0.0	c:0.00960768922831
OTU127_Acidaminococcus	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0352281938371	b:0.0	b:0.0	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0160128153805	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU128_Bacteroidetes_unclassified	d:0.0	d:0.0	d:0.0	c:0.0512410092176	d:0.0	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	d:0.0	c:0.00960768922831	c:0.0368294753752	d:-0.0032025630761	d:0.0	d:0.0	c:0.0336269122991	d:0.0	d:0.0	d:0.0	c:0.0160128153805	d:0.0	c:0.0240192230708	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0112089707664
OTU129_Firmicutes_unclassified	b:-0.0128102523044	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:-0.00960768922831	b:-0.0176140969186	b:0.0	b:0.0	b:-0.0176140969186	b:-1.11022302463e-18	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0176140969186	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.030424349223
OTU12_Selenomonas	b:-0.172938406109	b:-0.107285863049	b:-0.0864692030547	b:-0.124899959968	b:-0.0480384461415	b:-0.156925590729	b:-0.110488426126	b:-0.153723027653	b:-0.171337124571	b:-0.00800640769025	b:0.0	b:-0.129703804582	b:-0.110488426126	b:-0.104083299973	b:-0.092874329207	b:-0.13931149381	b:-0.164931998419	b:-0.161729435343	b:-0.12329867843	b:-0.116893552278	b:-0.155324309191	b:-0.129703804582	b:-0.13130508612	b:-0.134507649196	b:-0.148919183039	b:-0.0176140969186	b:-0.142514056887	b:-0.144115338425	b:-0.110488426126	b:-0.166533279957	b:-0.153723027653
OTU130_Clostridiales_unclassified	c:0.00480384461415	d:0.0	d:0.0	c:0.0032025630761	c:5.55111512313e-19	c:0.0192153784566	c:0.0064051261522	c:0.0032025630761	c:0.0064051261522	d:0.0	d:0.0	d:-0.00800640769025	c:0.0272217861469	d:-0.0032025630761	d:0.0	c:0.0144115338425	d:-0.0160128153805	d:0.0	c:0.0032025630761	c:0.0064051261522	c:0.00800640769025	d:0.0	c:0.0480384461415	c:0.0144115338425	d:0.0	d:0.0	c:0.00800640769025	c:0.0112089707664	c:0.0160128153805	c:0.00960768922831	c:0.0176140969186
OTU131_Bacteroidetes_unclassified	d:0.0	d:0.0	d:0.0	c:0.0464371646035	c:0.00480384461415	c:0.00480384461415	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:-0.0032025630761	c:0.0384307569132	d:-0.0032025630761	d:0.0	d:0.0	c:0.0128102523044	d:0.0	d:0.0	d:0.0	c:0.0160128153805	d:0.0	c:0.0192153784566	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0128102523044
